Q231690	Bhimrao Ramji Ambedkar
Q16556694	member of the Lok Sabha
Q502983	Michael Rostovtzeff
Q20519438	Rostovtsev
Q2257599	Marco Zanchi
Q6581097	male
Q6165658	Javier Oliete
Q1142232	Javier
Q152293	Aram Khachaturian
Q9803717	Category:Aram Khachaturian
Q83297	John Strutt, 3rd Baron Rayleigh
Q55325785	Category:John William Strutt, 3rd Baron Rayleigh
Q470366	Dragoslav Šekularac
Q1942096	St. Louis Stars
Q5479812	Francie Molloy
Q145	United Kingdom
Q320	Michelle Bachelet
Q55717944	minister of National Defence of Chile
Q47691741	Christian Frates
Q3039938	right-handedness
Q673718	Rémi Mathis
Q30461	president
Q2290207	Leandro Amaral
Q937857	association football player
Q5340191	Edon Amaral Neto
Q744353	S.C. Farense
Q333058	Gillian Shephard
Q5528213	Gavin McCallum
Q508553	Gavin
Q1230681	George Cornewall Lewis
Q174193	United Kingdom of Great Britain and Ireland
Q2757533	Teslim Fatusi
Q1512943	Shooting Stars SC
Q41370	David
Q1177750	City of David
Q3571844	Yao Mawuko Sènaya
Q311335	Gilberto da Silva Melo
Q37285	2006 FIFA World Cup
Q3206278	LaTroy Hawkins
Q604879	Minnesota Twins
Q7488	Emperor Qinzong of Song
Q3808923	Empress Renhuai
Q3615744	Andrea Gentile
Q38	Italy
Q3110629	Gonzalo Pavone
Q1321	Spanish
Q265778	Adam Hammill
Q244206	Saud of Saudi Arabia
Q483654	Sunni Islam
Q333275	Reginald Maudling
Q82513	Merton College
Q212854	Brian Laudrup
Q80504	Nicolae Ceaușescu
Q19660	Bucharest
Q446236	Nilton Fernandes
Q21510337	Fernandes
Q309786	Emilio Salgari
Q25413386	Maria
Q275876	Franklin Delano Roosevelt Jr.
Q276003	Franklin D. Roosevelt III
Q258738	Bob Ainsworth
Q21500603	Ainsworth
Q449008	John V, Duke of Brittany
Q4925477	John
Q36620	Tycho Brahe
Q76684	Simon Marius
Q315459	Erik Edman
Q21450896	Edman
Q152245	Albert, Prince Consort
Q83319	typhoid fever
Q334207	Francis Burdett
Q220570	pulmonary embolism
Q5006941	Charles William Bowerman
Q15627169	trade unionist
Q1680725	James William Lowther, 1st Viscount Ullswater
Q276402	Silvestre Varela
